#{"t_start": 1775351827.7604556, "env_id": "ALE/MontezumaRevenge-v5"}
r,l,t
0.0,204,4.007084
0.0,258,5.406435
0.0,210,6.207121
0.0,243,7.657363
0.0,170,8.416232
0.0,242,9.653344
0.0,333,11.628547
0.0,262,13.007342
0.0,208,14.054815
0.0,337,16.155098
0.0,335,19.740542
0.0,304,23.366687
0.0,213,25.729475
0.0,247,28.838987
0.0,445,34.422774
0.0,202,35.986746
0.0,236,37.753413
0.0,302,39.934693
0.0,586,44.152263
0.0,277,46.204313
0.0,272,48.10196
0.0,263,49.717391
0.0,213,51.191612
0.0,281,53.169961
0.0,311,55.326798
0.0,238,56.800614
0.0,1708,81.817816
0.0,14056,318.981649
0.0,10580,487.146183
